,speed_mean,speed_std,speed_min,speed_max,throttle_mean,throttle_std,throttle_zero_frac,throttle_full_frac,brake_active_frac,brake_on_count,rpm_mean,rpm_std,gear_mean,gear_change_count
speed_mean,1.0,-0.07170805940461887,0.4941905408934781,0.5485891952837308,0.944245392147372,-0.6988511736116524,-0.7005168938180285,0.7781520222327327,-0.8362722060170489,-0.3136897868383263,0.8976873057916437,-0.7053201835208878,0.9755923971548682,-0.284088364277174
speed_std,-0.07170805940461887,1.0,-0.4347262235652639,0.571267302979788,-0.15263659756556552,0.24708202055277909,0.19876590190335688,-0.07951943956071035,0.09055465033677544,0.04628064771454532,-0.2951797872523347,0.6284638430945295,-0.04545469786436429,0.23405373265429602
speed_min,0.4941905408934781,-0.4347262235652639,1.0,0.19468315875179207,0.48415813300229105,-0.31143827600266294,-0.3703132810871867,0.3749003777204408,-0.40462920202618163,-0.1418979839098206,0.6029278097003745,-0.6999698689439172,0.4762344470386233,-0.33542770459459775
speed_max,0.5485891952837308,0.571267302979788,0.19468315875179207,1.0,0.426063559217512,-0.23478612311369657,-0.2782366469191046,0.39584951492001863,-0.3682314827742816,-0.06472701920710144,0.390011002519646,-0.06484475123715577,0.5510553357057557,-0.07301115568912933
throttle_mean,0.944245392147372,-0.15263659756556552,0.48415813300229105,0.426063559217512,1.0,-0.7692263291245056,-0.8058179510059218,0.8155147946219374,-0.8288345323709191,-0.24529356499757773,0.9145454246367082,-0.7376326659340054,0.9087349568378025,-0.1486656067140921
throttle_std,-0.6988511736116524,0.24708202055277909,-0.31143827600266294,-0.23478612311369657,-0.7692263291245056,1.0,0.8332277592101409,-0.5231917979547043,0.623851065541258,0.14221927133400186,-0.6840647383992229,0.6169018890654312,-0.6792332676818456,0.2553982928281066
throttle_zero_frac,-0.7005168938180285,0.19876590190335688,-0.3703132810871867,-0.2782366469191046,-0.8058179510059218,0.8332277592101409,1.0,-0.5498851283277894,0.5763837724545642,0.10448225239443072,-0.7332940800179935,0.6163730150773733,-0.6833638919367725,0.09313712765330102
throttle_full_frac,0.7781520222327327,-0.07951943956071035,0.3749003777204408,0.39584951492001863,0.8155147946219374,-0.5231917979547043,-0.5498851283277894,1.0,-0.713670895838007,-0.13174169704695876,0.7722932034628062,-0.6197895199766904,0.7142964816455807,-0.08188832936699009
brake_active_frac,-0.8362722060170489,0.09055465033677544,-0.40462920202618163,-0.3682314827742816,-0.8288345323709191,0.623851065541258,0.5763837724545642,-0.713670895838007,1.0,0.36802201845315796,-0.760753555199075,0.6207668943447824,-0.794041670316566,0.3052007749833219
brake_on_count,-0.3136897868383263,0.04628064771454532,-0.1418979839098206,-0.06472701920710144,-0.24529356499757773,0.14221927133400186,0.10448225239443072,-0.13174169704695876,0.36802201845315796,1.0,-0.2238127729876489,0.20043740262473916,-0.3428703491543814,0.27033464013043174
rpm_mean,0.8976873057916437,-0.2951797872523347,0.6029278097003745,0.390011002519646,0.9145454246367082,-0.6840647383992229,-0.7332940800179935,0.7722932034628062,-0.760753555199075,-0.2238127729876489,1.0,-0.8600453491273191,0.8238892029936878,-0.19474944913640727
rpm_std,-0.7053201835208878,0.6284638430945295,-0.6999698689439172,-0.06484475123715577,-0.7376326659340054,0.6169018890654312,0.6163730150773733,-0.6197895199766904,0.6207668943447824,0.20043740262473916,-0.8600453491273191,1.0,-0.6324404944270787,0.25265678190666835
gear_mean,0.9755923971548682,-0.04545469786436429,0.4762344470386233,0.5510553357057557,0.9087349568378025,-0.6792332676818456,-0.6833638919367725,0.7142964816455807,-0.794041670316566,-0.3428703491543814,0.8238892029936878,-0.6324404944270787,1.0,-0.298282941625914
gear_change_count,-0.284088364277174,0.23405373265429602,-0.33542770459459775,-0.07301115568912933,-0.1486656067140921,0.2553982928281066,0.09313712765330102,-0.08188832936699009,0.3052007749833219,0.27033464013043174,-0.19474944913640727,0.25265678190666835,-0.298282941625914,1.0
