setup,merged_rows
Kwalifikacje 2023-2025,351.0
Kwalifikacje 2023-2025,342.0
Kwalifikacje 2023-2025,345.0
Kwalifikacje 2023-2025,327.0
Kwalifikacje 2023-2025,318.0
Kwalifikacje 2023-2025,328.0
Kwalifikacje 2023-2025,325.0
Kwalifikacje 2023-2025,331.0
Kwalifikacje 2023-2025,326.0
Kwalifikacje 2023-2025,322.0
Kwalifikacje 2023-2025,386.0
Kwalifikacje 2023-2025,388.0
Kwalifikacje 2023-2025,386.0
Kwalifikacje 2023-2025,385.0
Kwalifikacje 2023-2025,390.0
Kwalifikacje 2023-2025,339.0
Kwalifikacje 2023-2025,325.0
Kwalifikacje 2023-2025,325.0
Kwalifikacje 2023-2025,333.0
Kwalifikacje 2023-2025,325.0
Kwalifikacje 2023-2025,273.0
Kwalifikacje 2023-2025,272.0
Kwalifikacje 2023-2025,276.0
Kwalifikacje 2023-2025,270.0
Kwalifikacje 2023-2025,259.0
Kwalifikacje 2023-2025,242.0
Kwalifikacje 2023-2025,240.0
Kwalifikacje 2023-2025,255.0
Kwalifikacje 2023-2025,236.0
Kwalifikacje 2023-2025,241.0
Kwalifikacje 2023-2025,293.0
Kwalifikacje 2023-2025,276.0
Kwalifikacje 2023-2025,298.0
Kwalifikacje 2023-2025,289.0
Kwalifikacje 2023-2025,293.0
Kwalifikacje 2023-2025,307.0
Kwalifikacje 2023-2025,296.0
Kwalifikacje 2023-2025,317.0
Kwalifikacje 2023-2025,296.0
Kwalifikacje 2023-2025,294.0
Kwalifikacje 2023-2025,335.0
Kwalifikacje 2023-2025,337.0
Kwalifikacje 2023-2025,340.0
Kwalifikacje 2023-2025,341.0
Kwalifikacje 2023-2025,345.0
Kwalifikacje 2023-2025,339.0
Kwalifikacje 2023-2025,332.0
Kwalifikacje 2023-2025,335.0
Kwalifikacje 2023-2025,336.0
Kwalifikacje 2023-2025,331.0
Kwalifikacje 2023-2025,316.0
Kwalifikacje 2023-2025,314.0
Kwalifikacje 2023-2025,316.0
Kwalifikacje 2023-2025,324.0
Kwalifikacje 2023-2025,317.0
Kwalifikacje 2023-2025,362.0
Kwalifikacje 2023-2025,345.0
Kwalifikacje 2023-2025,344.0
Kwalifikacje 2023-2025,345.0
Kwalifikacje 2023-2025,340.0
Kwalifikacje 2023-2025,288.0
Kwalifikacje 2023-2025,293.0
Kwalifikacje 2023-2025,294.0
Kwalifikacje 2023-2025,294.0
Kwalifikacje 2023-2025,292.0
Kwalifikacje 2023-2025,354.0
Kwalifikacje 2023-2025,349.0
Kwalifikacje 2023-2025,353.0
Kwalifikacje 2023-2025,353.0
Kwalifikacje 2023-2025,343.0
Kwalifikacje 2023-2025,322.0
Kwalifikacje 2023-2025,304.0
Kwalifikacje 2023-2025,321.0
Kwalifikacje 2023-2025,316.0
Kwalifikacje 2023-2025,313.0
Kwalifikacje 2023-2025,334.0
Kwalifikacje 2023-2025,335.0
Kwalifikacje 2023-2025,344.0
Kwalifikacje 2023-2025,345.0
Kwalifikacje 2023-2025,345.0
Kwalifikacje 2023-2025,335.0
Kwalifikacje 2023-2025,333.0
Kwalifikacje 2023-2025,331.0
Kwalifikacje 2023-2025,342.0
Kwalifikacje 2023-2025,345.0
Kwalifikacje 2023-2025,331.0
Kwalifikacje 2023-2025,333.0
Kwalifikacje 2023-2025,344.0
Kwalifikacje 2023-2025,340.0
Kwalifikacje 2023-2025,363.0
Kwalifikacje 2023-2025,357.0
Kwalifikacje 2023-2025,358.0
Kwalifikacje 2023-2025,356.0
Kwalifikacje 2023-2025,359.0
Kwalifikacje 2023-2025,328.0
Kwalifikacje 2023-2025,327.0
Kwalifikacje 2023-2025,329.0
Kwalifikacje 2023-2025,324.0
Kwalifikacje 2023-2025,328.0
Kwalifikacje 2023-2025,293.0
Kwalifikacje 2023-2025,298.0
Kwalifikacje 2023-2025,295.0
Kwalifikacje 2023-2025,297.0
Kwalifikacje 2023-2025,279.0
Kwalifikacje 2023-2025,255.0
Kwalifikacje 2023-2025,268.0
Kwalifikacje 2023-2025,267.0
Kwalifikacje 2023-2025,268.0
Kwalifikacje 2023-2025,266.0
Kwalifikacje 2023-2025,276.0
Kwalifikacje 2023-2025,271.0
Kwalifikacje 2023-2025,273.0
Kwalifikacje 2023-2025,265.0
Kwalifikacje 2023-2025,262.0
Kwalifikacje 2023-2025,239.0
Kwalifikacje 2023-2025,245.0
Kwalifikacje 2023-2025,248.0
Kwalifikacje 2023-2025,249.0
Kwalifikacje 2023-2025,239.0
Kwalifikacje 2023-2025,257.0
Kwalifikacje 2023-2025,262.0
Kwalifikacje 2023-2025,274.0
Kwalifikacje 2023-2025,275.0
Kwalifikacje 2023-2025,264.0
Kwalifikacje 2023-2025,308.0
Kwalifikacje 2023-2025,314.0
Kwalifikacje 2023-2025,302.0
Kwalifikacje 2023-2025,314.0
Kwalifikacje 2023-2025,300.0
Kwalifikacje 2023-2025,389.0
Kwalifikacje 2023-2025,394.0
Kwalifikacje 2023-2025,387.0
Kwalifikacje 2023-2025,399.0
Kwalifikacje 2023-2025,398.0
Kwalifikacje 2023-2025,340.0
Kwalifikacje 2023-2025,332.0
Kwalifikacje 2023-2025,331.0
Kwalifikacje 2023-2025,331.0
Kwalifikacje 2023-2025,333.0
