setup,setup_label,model,model_label,fold,n_train,n_train_inner,n_val,n_test,epochs_trained,train_accuracy,test_accuracy,train_balanced_accuracy,test_balanced_accuracy,train_macro_f1,test_macro_f1,result_source
short_qualifying_2023_2025_top5,Kwalifikacje 2023-2025,logistic_regression_final,Regresja logistyczna,1,218,,,55,,0.9862385321100916,0.8545454545454545,0.9860465116279068,0.8545454545454545,0.9860428226686546,0.8568831168831169,final_model_fold_metrics.csv
short_qualifying_2023_2025_top5,Kwalifikacje 2023-2025,logistic_regression_final,Regresja logistyczna,2,218,,,55,,0.9862385321100916,0.8727272727272727,0.9860465116279068,0.8727272727272728,0.9859784387806588,0.8732806324110672,final_model_fold_metrics.csv
short_qualifying_2023_2025_top5,Kwalifikacje 2023-2025,logistic_regression_final,Regresja logistyczna,3,218,,,55,,0.9908256880733946,0.8727272727272727,0.9908033826638478,0.8727272727272728,0.9908027956233536,0.8756643356643355,final_model_fold_metrics.csv
short_qualifying_2023_2025_top5,Kwalifikacje 2023-2025,logistic_regression_final,Regresja logistyczna,4,219,,,54,,0.9954337899543378,0.8333333333333334,0.9954545454545456,0.8345454545454546,0.9954539584140514,0.8287502352719744,final_model_fold_metrics.csv
short_qualifying_2023_2025_top5,Kwalifikacje 2023-2025,logistic_regression_final,Regresja logistyczna,5,219,,,54,,0.9863013698630136,0.8703703703703703,0.9862579281183932,0.8690909090909091,0.9862532299741602,0.8692640692640692,final_model_fold_metrics.csv
short_qualifying_2023_2025_top5,Kwalifikacje 2023-2025,cnn,CNN,1,218,173.0,45.0,55,111.0,0.9678899082568808,0.9636363636363636,0.9674418604651164,0.9636363636363636,0.967505128596156,0.9635610766045548,sequence_architecture_fold_metrics.csv
short_qualifying_2023_2025_top5,Kwalifikacje 2023-2025,cnn,CNN,2,218,173.0,45.0,55,120.0,0.9908256880733946,0.8727272727272727,0.9906976744186048,0.8727272727272727,0.9907437132156232,0.8691049626701801,sequence_architecture_fold_metrics.csv
short_qualifying_2023_2025_top5,Kwalifikacje 2023-2025,cnn,CNN,3,218,173.0,45.0,55,76.0,0.9678899082568808,0.8545454545454545,0.9678646934460888,0.8545454545454547,0.9678148769167214,0.8559759081498213,sequence_architecture_fold_metrics.csv
short_qualifying_2023_2025_top5,Kwalifikacje 2023-2025,cnn,CNN,4,219,174.0,45.0,54,79.0,0.9452054794520548,0.8703703703703703,0.945031712473573,0.8636363636363636,0.945174171864764,0.8575048140265531,sequence_architecture_fold_metrics.csv
short_qualifying_2023_2025_top5,Kwalifikacje 2023-2025,cnn,CNN,5,219,174.0,45.0,54,95.0,0.9497716894977168,0.925925925925926,0.9495771670190274,0.9254545454545454,0.9494487242491892,0.9245511010728402,sequence_architecture_fold_metrics.csv
short_qualifying_2023_2025_top5,Kwalifikacje 2023-2025,gru,GRU,1,218,173.0,45.0,55,120.0,0.6330275229357798,0.5272727272727272,0.6288583509513741,0.5272727272727272,0.5610152350454565,0.4666961521450686,sequence_architecture_fold_metrics.csv
short_qualifying_2023_2025_top5,Kwalifikacje 2023-2025,gru,GRU,2,218,173.0,45.0,55,120.0,0.518348623853211,0.4,0.5167019027484143,0.4,0.488551749369421,0.3650658509017642,sequence_architecture_fold_metrics.csv
short_qualifying_2023_2025_top5,Kwalifikacje 2023-2025,gru,GRU,3,218,173.0,45.0,55,120.0,0.6238532110091743,0.5636363636363636,0.6234672304439746,0.5636363636363637,0.5984735537496777,0.5320190359741551,sequence_architecture_fold_metrics.csv
short_qualifying_2023_2025_top5,Kwalifikacje 2023-2025,gru,GRU,4,219,174.0,45.0,54,117.0,0.6255707762557078,0.4814814814814814,0.6236786469344608,0.4763636363636364,0.5928005458773724,0.4400919540229885,sequence_architecture_fold_metrics.csv
short_qualifying_2023_2025_top5,Kwalifikacje 2023-2025,gru,GRU,5,219,174.0,45.0,54,107.0,0.5388127853881278,0.5,0.5366807610993657,0.4927272727272728,0.4642718867483316,0.4187890540831717,sequence_architecture_fold_metrics.csv
short_qualifying_2023_2025_top5,Kwalifikacje 2023-2025,lstm,LSTM,1,218,173.0,45.0,55,69.0,0.4311926605504587,0.3636363636363636,0.428752642706131,0.3636363636363636,0.3638468570961832,0.3040350877192982,sequence_architecture_fold_metrics.csv
short_qualifying_2023_2025_top5,Kwalifikacje 2023-2025,lstm,LSTM,2,218,173.0,45.0,55,120.0,0.6422018348623854,0.4727272727272727,0.641860465116279,0.4727272727272728,0.6400694594534221,0.4751578947368421,sequence_architecture_fold_metrics.csv
short_qualifying_2023_2025_top5,Kwalifikacje 2023-2025,lstm,LSTM,3,218,173.0,45.0,55,53.0,0.3899082568807339,0.4181818181818181,0.3864693446088795,0.4181818181818181,0.3020139377391655,0.356737998843262,sequence_architecture_fold_metrics.csv
short_qualifying_2023_2025_top5,Kwalifikacje 2023-2025,lstm,LSTM,4,219,174.0,45.0,54,38.0,0.3105022831050228,0.2407407407407407,0.3090909090909091,0.2454545454545454,0.237435593730389,0.175,sequence_architecture_fold_metrics.csv
short_qualifying_2023_2025_top5,Kwalifikacje 2023-2025,lstm,LSTM,5,219,174.0,45.0,54,62.0,0.3881278538812785,0.3518518518518518,0.3865750528541226,0.3454545454545454,0.3169175175362578,0.2742857142857143,sequence_architecture_fold_metrics.csv
short_qualifying_2023_2025_top5,Kwalifikacje 2023-2025,hybrid_cnn_tabular,Hybryda CNN + tabular,1,218,173.0,45.0,55,95.0,0.9862385321100916,0.9454545454545454,0.9861522198731502,0.9454545454545455,0.9862032504761412,0.9454169019386413,sequence_architecture_fold_metrics.csv
short_qualifying_2023_2025_top5,Kwalifikacje 2023-2025,hybrid_cnn_tabular,Hybryda CNN + tabular,2,218,173.0,45.0,55,120.0,0.981651376146789,0.9636363636363636,0.9813953488372092,0.9636363636363636,0.981537364009274,0.9635610766045548,sequence_architecture_fold_metrics.csv
short_qualifying_2023_2025_top5,Kwalifikacje 2023-2025,hybrid_cnn_tabular,Hybryda CNN + tabular,3,218,173.0,45.0,55,77.0,0.9724770642201837,0.8727272727272727,0.9721987315010572,0.8727272727272727,0.972351045888465,0.8732969547614857,sequence_architecture_fold_metrics.csv
short_qualifying_2023_2025_top5,Kwalifikacje 2023-2025,hybrid_cnn_tabular,Hybryda CNN + tabular,4,219,174.0,45.0,54,88.0,0.9863013698630136,0.9444444444444444,0.9862579281183932,0.9436363636363636,0.9863089587213844,0.9441113653699466,sequence_architecture_fold_metrics.csv
short_qualifying_2023_2025_top5,Kwalifikacje 2023-2025,hybrid_cnn_tabular,Hybryda CNN + tabular,5,219,174.0,45.0,54,72.0,0.9680365296803652,0.8518518518518519,0.967970401691332,0.850909090909091,0.9677931996768744,0.8470537212596708,sequence_architecture_fold_metrics.csv
long_qualifying_2018_2025_top5,Kwalifikacje 2018-2025,cnn,CNN,1,560,444.0,116.0,138,43.0,0.8446428571428571,0.8043478260869565,0.8393687196171667,0.8020132790747482,0.8400906650437457,0.8007115593272882,long_qualifying_top5_sequence_full_rerun_fold_metrics.csv
long_qualifying_2018_2025_top5,Kwalifikacje 2018-2025,cnn,CNN,2,559,450.0,109.0,139,66.0,0.9069767441860463,0.8705035971223022,0.9055065324480616,0.8632683658170915,0.9061890800416336,0.8643427680832707,long_qualifying_top5_sequence_full_rerun_fold_metrics.csv
long_qualifying_2018_2025_top5,Kwalifikacje 2018-2025,cnn,CNN,3,554,442.0,112.0,144,45.0,0.9115523465703972,0.8680555555555556,0.9081599905534355,0.8651286261631089,0.908970552931265,0.8658808040109083,long_qualifying_top5_sequence_full_rerun_fold_metrics.csv
long_qualifying_2018_2025_top5,Kwalifikacje 2018-2025,cnn,CNN,4,558,446.0,112.0,140,74.0,0.9480286738351256,0.8571428571428571,0.9455397301349324,0.8543448275862069,0.9465952802305606,0.8530639730639731,long_qualifying_top5_sequence_full_rerun_fold_metrics.csv
long_qualifying_2018_2025_top5,Kwalifikacje 2018-2025,cnn,CNN,5,561,450.0,111.0,137,64.0,0.8894830659536542,0.8394160583941606,0.8875849830186947,0.8345255943456842,0.8877346438557326,0.8364482635159327,long_qualifying_top5_sequence_full_rerun_fold_metrics.csv
long_qualifying_2018_2025_top5,Kwalifikacje 2018-2025,hybrid_cnn_tabular,Hybryda CNN + tabular,1,560,444.0,116.0,138,73.0,0.9660714285714286,0.9347826086956522,0.9648744492222754,0.932287427714714,0.9655786893776568,0.9348358578748804,long_qualifying_top5_sequence_full_rerun_fold_metrics.csv
long_qualifying_2018_2025_top5,Kwalifikacje 2018-2025,hybrid_cnn_tabular,Hybryda CNN + tabular,2,559,450.0,109.0,139,80.0,0.962432915921288,0.8848920863309353,0.9625881956980692,0.8806596701649175,0.962226889639848,0.882239119405997,long_qualifying_top5_sequence_full_rerun_fold_metrics.csv
long_qualifying_2018_2025_top5,Kwalifikacje 2018-2025,hybrid_cnn_tabular,Hybryda CNN + tabular,3,554,442.0,112.0,144,80.0,0.9765342960288808,0.9444444444444444,0.9762401833797548,0.944019339536581,0.9762622096571472,0.9438405335372332,long_qualifying_top5_sequence_full_rerun_fold_metrics.csv
