dataset,holdout_type,holdout_value,status,n_train,n_test,n_test_classes,accuracy,balanced_accuracy,macro_f1
short_qualifying_2023_2025_top5,season,2023,ok,198,75,5,0.88,0.8800000000000001,0.8786081242532855
short_qualifying_2023_2025_top5,season,2024,ok,185,88,5,0.9204545454545454,0.9196078431372549,0.9202175894281158
short_qualifying_2023_2025_top5,season,2025,ok,163,110,5,0.6727272727272727,0.6727272727272727,0.6672822299651567
short_qualifying_2023_2025_top5,event_name,round_1,ok,258,15,5,1.0,1.0,1.0
short_qualifying_2023_2025_top5,event_name,round_10,ok,263,10,5,0.8,0.8,0.7933333333333333
short_qualifying_2023_2025_top5,event_name,round_11,ok,258,15,5,1.0,1.0,1.0
short_qualifying_2023_2025_top5,event_name,round_12,ok,268,5,5,0.8,0.8,0.7333333333333333
short_qualifying_2023_2025_top5,event_name,round_13,ok,268,5,5,0.6,0.6,0.4666666666666666
short_qualifying_2023_2025_top5,event_name,round_14,ok,263,10,5,0.8,0.8,0.7999999999999999
short_qualifying_2023_2025_top5,event_name,round_15,ok,258,15,5,0.8666666666666667,0.8666666666666666,0.8699999999999999
short_qualifying_2023_2025_top5,event_name,round_16,ok,258,15,5,0.8666666666666667,0.8666666666666666,0.8699999999999999
short_qualifying_2023_2025_top5,event_name,round_17,ok,263,10,5,0.8,0.8,0.7866666666666666
short_qualifying_2023_2025_top5,event_name,round_18,ok,258,15,5,0.8666666666666667,0.8666666666666666,0.8699999999999999
short_qualifying_2023_2025_top5,event_name,round_19,ok,258,15,5,0.8666666666666667,0.8666666666666666,0.8647619047619047
short_qualifying_2023_2025_top5,event_name,round_2,ok,259,14,5,0.7857142857142857,0.7333333333333333,0.6833333333333333
short_qualifying_2023_2025_top5,event_name,round_20,ok,263,10,5,0.9,0.9,0.8933333333333333
short_qualifying_2023_2025_top5,event_name,round_21,ok,263,10,5,0.9,0.9,0.8933333333333333
short_qualifying_2023_2025_top5,event_name,round_22,ok,263,10,5,1.0,1.0,1.0
short_qualifying_2023_2025_top5,event_name,round_23,ok,263,10,5,0.8,0.8,0.7933333333333333
short_qualifying_2023_2025_top5,event_name,round_24,ok,264,9,5,0.8888888888888888,0.9,0.8933333333333333
short_qualifying_2023_2025_top5,event_name,round_3,ok,268,5,5,0.8,0.8,0.7333333333333333
short_qualifying_2023_2025_top5,event_name,round_4,ok,258,15,5,0.8666666666666667,0.8666666666666666,0.8647619047619047
short_qualifying_2023_2025_top5,event_name,round_5,ok,258,15,5,1.0,1.0,1.0
short_qualifying_2023_2025_top5,event_name,round_6,ok,258,15,5,0.7333333333333333,0.7333333333333333,0.7257142857142858
short_qualifying_2023_2025_top5,event_name,round_7,ok,263,10,5,0.8,0.8,0.72
short_qualifying_2023_2025_top5,event_name,round_8,ok,263,10,5,0.8,0.8,0.7866666666666666
short_qualifying_2023_2025_top5,event_name,round_9,ok,263,10,5,1.0,1.0,1.0
long_qualifying_2018_2025_top5,season,2018,ok,613,85,5,0.4117647058823529,0.4065359477124183,0.37621489621489623
long_qualifying_2018_2025_top5,season,2019,ok,616,82,4,0.8902439024390244,0.888095238095238,0.8841621792841305
long_qualifying_2018_2025_top5,season,2020,ok,624,74,5,0.7432432432432432,0.7466666666666667,0.7295405405405405
long_qualifying_2018_2025_top5,season,2021,ok,598,100,5,0.81,0.8099999999999999,0.8071721071721072
long_qualifying_2018_2025_top5,season,2022,ok,614,84,5,0.8452380952380952,0.8448529411764707,0.8426512603931959
long_qualifying_2018_2025_top5,season,2023,ok,623,75,5,0.92,0.9199999999999999,0.9207680491551459
long_qualifying_2018_2025_top5,season,2024,ok,610,88,5,0.8295454545454546,0.8274509803921568,0.82548584032455
long_qualifying_2018_2025_top5,season,2025,ok,588,110,5,0.6454545454545455,0.6454545454545455,0.5952733616404989
long_qualifying_2018_2025_top5,event_name,70th Anniversary Grand Prix,ok,693,5,5,0.8,0.8,0.7333333333333333
long_qualifying_2018_2025_top5,event_name,Abu Dhabi Grand Prix,ok,660,38,5,0.8421052631578947,0.825,0.8259607351712613
long_qualifying_2018_2025_top5,event_name,Australian Grand Prix,ok,681,17,5,0.6470588235294118,0.6,0.5485714285714286
long_qualifying_2018_2025_top5,event_name,Austrian Grand Prix,ok,659,39,5,0.8974358974358975,0.8928571428571429,0.8967543859649123
long_qualifying_2018_2025_top5,event_name,Azerbaijan Grand Prix,ok,669,29,5,0.7241379310344828,0.7133333333333334,0.7151515151515151
long_qualifying_2018_2025_top5,event_name,Bahrain Grand Prix,ok,659,39,5,0.7692307692307693,0.7714285714285715,0.7611904761904762
long_qualifying_2018_2025_top5,event_name,Belgian Grand Prix,ok,679,19,5,0.8947368421052632,0.8666666666666668,0.8555555555555555
long_qualifying_2018_2025_top5,event_name,Brazilian Grand Prix,ok,690,8,5,0.75,0.6,0.5333333333333333
long_qualifying_2018_2025_top5,event_name,British Grand Prix,ok,674,24,5,0.625,0.61,0.6175180375180375
long_qualifying_2018_2025_top5,event_name,Canadian Grand Prix,ok,684,14,5,0.8571428571428571,0.8,0.7428571428571429
long_qualifying_2018_2025_top5,event_name,Chinese Grand Prix,ok,679,19,5,0.631578947368421,0.65,0.5398989898989899
long_qualifying_2018_2025_top5,event_name,Dutch Grand Prix,ok,678,20,5,0.8,0.8,0.7912698412698412
long_qualifying_2018_2025_top5,event_name,Eifel Grand Prix,ok,693,5,5,0.6,0.6,0.4666666666666666
long_qualifying_2018_2025_top5,event_name,Emilia Romagna Grand Prix,ok,678,20,5,0.9,0.9,0.8992063492063492
long_qualifying_2018_2025_top5,event_name,French Grand Prix,ok,679,19,5,0.631578947368421,0.65,0.6092063492063492
long_qualifying_2018_2025_top5,event_name,German Grand Prix,ok,691,7,4,0.5714285714285714,0.625,0.45999999999999996
long_qualifying_2018_2025_top5,event_name,Hungarian Grand Prix,ok,669,29,5,0.9310344827586207,0.9333333333333332,0.9292307692307693
long_qualifying_2018_2025_top5,event_name,Italian Grand Prix,ok,660,38,5,0.7368421052631579,0.7392857142857142,0.7368270944741532
long_qualifying_2018_2025_top5,event_name,Japanese Grand Prix,ok,674,24,5,0.8333333333333334,0.8300000000000001,0.8328427128427128
long_qualifying_2018_2025_top5,event_name,Las Vegas Grand Prix,ok,688,10,5,0.7,0.7,0.6266666666666666
long_qualifying_2018_2025_top5,event_name,Mexican Grand Prix,ok,689,9,5,0.6666666666666666,0.6,0.5533333333333333
long_qualifying_2018_2025_top5,event_name,Mexico City Grand Prix,ok,673,25,5,0.76,0.76,0.7489610389610389
long_qualifying_2018_2025_top5,event_name,Miami Grand Prix,ok,679,19,5,0.7368421052631579,0.75,0.7461904761904762
long_qualifying_2018_2025_top5,event_name,Monaco Grand Prix,ok,665,33,5,0.7878787878787878,0.7904761904761906,0.7679292929292929
long_qualifying_2018_2025_top5,event_name,Portuguese Grand Prix,ok,688,10,5,0.9,0.9,0.8933333333333333
long_qualifying_2018_2025_top5,event_name,Qatar Grand Prix,ok,678,20,5,0.75,0.75,0.7246608946608946
long_qualifying_2018_2025_top5,event_name,Russian Grand Prix,ok,684,14,5,0.6428571428571429,0.6,0.5576190476190476
long_qualifying_2018_2025_top5,event_name,Sakhir Grand Prix,ok,694,4,4,1.0,1.0,1.0
long_qualifying_2018_2025_top5,event_name,Saudi Arabian Grand Prix,ok,674,24,5,0.9166666666666666,0.9199999999999999,0.9166666666666667
long_qualifying_2018_2025_top5,event_name,Singapore Grand Prix,ok,674,24,5,0.9166666666666666,0.9099999999999999,0.9128427128427129
long_qualifying_2018_2025_top5,event_name,Spanish Grand Prix,ok,664,34,5,0.7941176470588235,0.7999999999999999,0.7788667215137803
long_qualifying_2018_2025_top5,event_name,Styrian Grand Prix,ok,693,5,5,0.8,0.8,0.7333333333333333
long_qualifying_2018_2025_top5,event_name,São Paulo Grand Prix,ok,688,10,5,0.8,0.8,0.7866666666666666
long_qualifying_2018_2025_top5,event_name,Turkish Grand Prix,ok,693,5,5,1.0,1.0,1.0
long_qualifying_2018_2025_top5,event_name,Tuscan Grand Prix,ok,693,5,5,0.6,0.6,0.4666666666666666
long_qualifying_2018_2025_top5,event_name,United States Grand Prix,ok,664,34,5,0.8823529411764706,0.880952380952381,0.8800000000000001
race_2025_clean_laps_top5,event_name,Abu Dhabi Grand Prix,ok,4064,270,5,0.8925925925925926,0.8926573426573426,0.8932864799570084
race_2025_clean_laps_top5,event_name,Austrian Grand Prix,ok,4150,184,3,0.8152173913043478,0.8164874551971325,0.6366750208855472
race_2025_clean_laps_top5,event_name,Azerbaijan Grand Prix,ok,4130,204,5,0.46568627450980393,0.4625435540069686,0.39756471868341114
race_2025_clean_laps_top5,event_name,Bahrain Grand Prix,ok,4104,230,5,0.7347826086956522,0.7523333333333333,0.7209945956307542
race_2025_clean_laps_top5,event_name,Chinese Grand Prix,ok,4083,251,5,0.9601593625498008,0.960627450980392,0.9602931969661516
race_2025_clean_laps_top5,event_name,Dutch Grand Prix,ok,4114,220,5,0.9454545454545454,0.9452967032967032,0.9383108467828964
race_2025_clean_laps_top5,event_name,Emilia Romagna Grand Prix,ok,4114,220,5,0.8818181818181818,0.8390445667628754,0.8468656028057424
race_2025_clean_laps_top5,event_name,Hungarian Grand Prix,ok,4015,319,5,0.9278996865203761,0.9289423076923077,0.9280818432557376
race_2025_clean_laps_top5,event_name,Italian Grand Prix,ok,4091,243,5,0.7613168724279835,0.7626700680272109,0.6830720900869334
race_2025_clean_laps_top5,event_name,Japanese Grand Prix,ok,4085,249,5,0.7670682730923695,0.7666938775510205,0.7496289250110794
race_2025_clean_laps_top5,event_name,Las Vegas Grand Prix,ok,4123,211,5,0.7440758293838863,0.7458471760797343,0.725087958136793
race_2025_clean_laps_top5,event_name,Mexico City Grand Prix,ok,4027,307,5,0.6677524429967426,0.6730762517811881,0.6184138388745678
race_2025_clean_laps_top5,event_name,Monaco Grand Prix,ok,4045,289,5,0.7681660899653979,0.7711073446327683,0.7575454666643175
race_2025_clean_laps_top5,event_name,Qatar Grand Prix,ok,4085,249,5,0.8072289156626506,0.808,0.7923679581888537
race_2025_clean_laps_top5,event_name,Saudi Arabian Grand Prix,ok,4109,225,5,0.9155555555555556,0.9155555555555555,0.914115370802179
race_2025_clean_laps_top5,event_name,Spanish Grand Prix,ok,4063,271,5,0.9077490774907749,0.9087542087542086,0.9090924986516162
race_2025_clean_laps_top5,event_name,São Paulo Grand Prix,ok,4136,198,4,0.9191919191919192,0.9249281609195403,0.7432459461618339
race_2025_clean_laps_top5,event_name,United States Grand Prix,ok,4140,194,5,0.9639175257731959,0.9706521739130434,0.9704687536860979
