setup,setup_label,model,model_label,result_source,n_folds,test_macro_f1_mean,test_macro_f1_std,test_macro_f1_min,test_macro_f1_max,test_macro_f1_bootstrap_ci95_low,test_macro_f1_bootstrap_ci95_high,train_macro_f1_mean,train_macro_f1_std,macro_f1_gap_mean,n_train_mean,n_val_mean,n_test_mean,epochs_trained_mean,epochs_trained_std,oof_macro_f1,oof_accuracy,oof_balanced_accuracy
long_qualifying_2018_2025_top5,Kwalifikacje 2018-2025,cnn,CNN,long_qualifying_top5_sequence_full_rerun_fold_metrics.csv,5,0.8440894736002745,0.02695195353463222,0.8007115593272882,0.8658808040109083,0.820892749101741,0.8627022234504661,0.8979160444205874,0.03875483419323456,0.053826570820312836,558.4,112.0,139.6,58.4,13.68575902169843,0.844694450936603,0.8481375358166189,0.8444254456793642
long_qualifying_2018_2025_top5,Kwalifikacje 2018-2025,gru,GRU,long_qualifying_top5_sequence_full_rerun_fold_metrics.csv,5,0.2761309418019427,0.053923200093387504,0.2256656449601032,0.3467730376817774,0.23417115751088233,0.318090726093003,0.2912324867451595,0.046289803480322175,0.015101544943216805,558.4,112.0,139.6,49.4,10.620734437881405,0.304432698193773,0.3022922636103152,0.2998346315822805
long_qualifying_2018_2025_top5,Kwalifikacje 2018-2025,hist_gradient_boosting,HistGradientBoosting,long_horizon_baseline_fold_metrics.csv,5,0.7100330326096552,0.0422890894584598,0.6598986987414446,0.7761725599064875,0.6790763669814084,0.7469537429556905,1.0,0.0,0.2899669673903448,558.4,,139.6,,,,,
long_qualifying_2018_2025_top5,Kwalifikacje 2018-2025,hybrid_cnn_tabular,Hybryda CNN + tabular,long_qualifying_top5_sequence_full_rerun_fold_metrics.csv,5,0.9054265643400667,0.03530765679138361,0.8595274423798607,0.9438405335372332,0.8780445984148155,0.9328085302653178,0.9667759731428079,0.01200625308961164,0.0613494088027412,558.4,112.0,139.6,76.6,4.774934554525329,0.905607314120855,0.9068767908309456,0.9050659415471328
long_qualifying_2018_2025_top5,Kwalifikacje 2018-2025,logistic_regression,Regresja logistyczna,long_horizon_baseline_fold_metrics.csv,5,0.8261864507869069,0.03168688787709505,0.7910494317613338,0.8693059007387868,0.8020462664580726,0.8495942892642565,0.9170116840120712,0.0013379573244642208,0.09082523322516434,558.4,,139.6,,,0.8266693376437738,0.828080229226361,0.8261136442797884
long_qualifying_2018_2025_top5,Kwalifikacje 2018-2025,lstm,LSTM,long_qualifying_top5_sequence_full_rerun_fold_metrics.csv,5,0.2997497432854566,0.047928891663130996,0.2643896973896973,0.3835497835497835,0.27272993439264315,0.34314635116115133,0.31660062184308885,0.04239633334701549,0.016850878557632232,558.4,112.0,139.6,31.4,11.674759098157015,0.3285358011999653,0.326647564469914,0.3259750324562236
long_qualifying_2018_2025_top5,Kwalifikacje 2018-2025,random_forest,Random Forest,long_horizon_baseline_fold_metrics.csv,5,0.6642129727222532,0.04758184153468084,0.6037468278137883,0.735144616434939,0.6275888686564676,0.7024396625505733,1.0,0.0,0.3357870272777468,558.4,,139.6,,,,,
long_qualifying_2018_2025_top5,Kwalifikacje 2018-2025,xgboost,xgboost,long_horizon_baseline_fold_metrics.csv,5,0.7052914960062925,0.03498262278038289,0.660464574960273,0.7561164635740907,0.6796254959372592,0.7341647881985849,1.0,0.0,0.2947085039937075,558.4,,139.6,,,,,
race_2025_clean_laps_top5,Wyścigi 2025,cnn,CNN,race_2025_top5_sequence_full_rerun_fold_metrics.csv,5,0.8604276348966013,0.057521180134668996,0.7667159049590637,0.9136410092440544,0.8116740000773068,0.8998290626483014,0.9613329882417867,0.024947486726735534,0.10090535334518536,3467.2,663.4,866.8,28.4,12.461942063739505,0.8499692222215847,0.8497923396400554,0.8505004430403267
race_2025_clean_laps_top5,Wyścigi 2025,gru,GRU,race_2025_top5_sequence_full_rerun_fold_metrics.csv,5,0.5813269024791281,0.21529926375135336,0.2353201936877527,0.8306263318405923,0.38851753125967303,0.740873077044703,0.6777047167240757,0.22851116072522606,0.09637781424494762,3467.2,663.4,866.8,37.2,14.75466028073842,0.5863949344232947,0.5752191970466082,0.5756791775753095
