dataset,model,context_type,context_value,n_samples,accuracy,macro_f1
long_qualifying_2018_2025_top5,cnn,season,2018,85,0.7058823529411765,0.6913029416976786
long_qualifying_2018_2025_top5,cnn,season,2019,82,0.9878048780487805,0.9878048780487805
long_qualifying_2018_2025_top5,cnn,season,2020,74,0.8918918918918919,0.8884698097601325
long_qualifying_2018_2025_top5,cnn,season,2021,100,0.85,0.8479143595422665
long_qualifying_2018_2025_top5,cnn,season,2022,84,0.9166666666666666,0.9163273147096677
long_qualifying_2018_2025_top5,cnn,season,2023,75,0.9333333333333333,0.9327188940092167
long_qualifying_2018_2025_top5,cnn,season,2024,88,0.9090909090909091,0.9085061202708262
long_qualifying_2018_2025_top5,cnn,season,2025,110,0.6636363636363637,0.6384276859239378
long_qualifying_2018_2025_top5,gru,season,2018,85,0.29411764705882354,0.26035886818495513
long_qualifying_2018_2025_top5,gru,season,2019,82,0.35365853658536583,0.3052894392429276
long_qualifying_2018_2025_top5,gru,season,2020,74,0.4189189189189189,0.4161066679911908
long_qualifying_2018_2025_top5,gru,season,2021,100,0.34,0.3233474945533769
long_qualifying_2018_2025_top5,gru,season,2022,84,0.2619047619047619,0.26725718459951464
long_qualifying_2018_2025_top5,gru,season,2023,75,0.25333333333333335,0.21500000000000002
long_qualifying_2018_2025_top5,gru,season,2024,88,0.3068181818181818,0.2974529914529914
long_qualifying_2018_2025_top5,gru,season,2025,110,0.21818181818181817,0.1892559551926581
long_qualifying_2018_2025_top5,hybrid_cnn_tabular,season,2018,85,0.7529411764705882,0.7363492971144885
long_qualifying_2018_2025_top5,hybrid_cnn_tabular,season,2019,82,0.9878048780487805,0.9877757901013715
long_qualifying_2018_2025_top5,hybrid_cnn_tabular,season,2020,74,0.9594594594594594,0.9604152762328514
long_qualifying_2018_2025_top5,hybrid_cnn_tabular,season,2021,100,0.95,0.9503919907102281
long_qualifying_2018_2025_top5,hybrid_cnn_tabular,season,2022,84,0.9523809523809523,0.953513071895425
long_qualifying_2018_2025_top5,hybrid_cnn_tabular,season,2023,75,0.9333333333333333,0.9336712749615976
long_qualifying_2018_2025_top5,hybrid_cnn_tabular,season,2024,88,0.9090909090909091,0.9073815751235106
long_qualifying_2018_2025_top5,hybrid_cnn_tabular,season,2025,110,0.8363636363636363,0.8294603876366795
long_qualifying_2018_2025_top5,lstm,season,2018,85,0.32941176470588235,0.3197368421052632
long_qualifying_2018_2025_top5,lstm,season,2019,82,0.36585365853658536,0.29152536364812576
long_qualifying_2018_2025_top5,lstm,season,2020,74,0.3918918918918919,0.36046659597030756
long_qualifying_2018_2025_top5,lstm,season,2021,100,0.34,0.34481914504932404
long_qualifying_2018_2025_top5,lstm,season,2022,84,0.2857142857142857,0.28372088991457833
long_qualifying_2018_2025_top5,lstm,season,2023,75,0.3333333333333333,0.3430508248180057
long_qualifying_2018_2025_top5,lstm,season,2024,88,0.3522727272727273,0.34571186010485133
long_qualifying_2018_2025_top5,lstm,season,2025,110,0.24545454545454545,0.25148629148629154
long_qualifying_2018_2025_top5,cnn,round,1,37,0.9459459459459459,0.946184012066365
long_qualifying_2018_2025_top5,cnn,round,2,33,0.8787878787878788,0.8824775224775225
long_qualifying_2018_2025_top5,cnn,round,3,29,0.8275862068965517,0.8223310023310024
long_qualifying_2018_2025_top5,cnn,round,4,34,0.8823529411764706,0.8813186813186814
long_qualifying_2018_2025_top5,cnn,round,5,38,0.8947368421052632,0.8969059011164274
long_qualifying_2018_2025_top5,cnn,round,6,38,0.7105263157894737,0.7182905982905983
