dataset,model,context_type,n_contexts,macro_f1_mean,macro_f1_std,macro_f1_min,macro_f1_max,accuracy_mean,accuracy_std
long_qualifying_2018_2025_top5,cnn,round,24,0.8270733839890188,0.09190026697861943,0.5533333333333333,0.946184012066365,0.8377352248488951,0.07807344618754772
long_qualifying_2018_2025_top5,cnn,season,8,0.8514340004953133,0.1225154825918122,0.6384276859239378,0.9878048780487805,0.8572882994511402,0.11383075540200241
long_qualifying_2018_2025_top5,gru,round,24,0.2789328019641898,0.09519684888443924,0.0,0.4416161616161617,0.29488536468192444,0.08922574158148483
long_qualifying_2018_2025_top5,gru,season,8,0.2842585751522018,0.06990886350537011,0.1892559551926581,0.4161066679911908,0.30586664972515043,0.06408692388592305
long_qualifying_2018_2025_top5,hybrid_cnn_tabular,round,24,0.8882227385903856,0.09544863637154496,0.6266666666666666,1.0,0.897887920527573,0.07448253819801108
long_qualifying_2018_2025_top5,hybrid_cnn_tabular,season,8,0.907369832972019,0.0838950985231691,0.7363492971144885,0.9877757901013715,0.9101717931434574,0.07794760620223055
long_qualifying_2018_2025_top5,lstm,round,24,0.2962515549057485,0.08940094211177002,0.05,0.4238961038961039,0.31757108766857084,0.0792760807890142
long_qualifying_2018_2025_top5,lstm,season,8,0.31756472663709345,0.03820939941347504,0.25148629148629154,0.36046659597030756,0.33049152586365643,0.046029258113182196
race_2025_clean_laps_top5,cnn,event_name,18,0.8272824346613542,0.15849751239410556,0.40128458358059876,0.973944163944164,0.850830744055606,0.14712253063120861
race_2025_clean_laps_top5,cnn,round,18,0.8272824346613542,0.15849751239410562,0.40128458358059876,0.973944163944164,0.850830744055606,0.14712253063120861
race_2025_clean_laps_top5,cnn,season,1,0.8499692222215847,,0.8499692222215847,0.8499692222215847,0.8497923396400554,
race_2025_clean_laps_top5,gru,event_name,18,0.5138583195204842,0.2160125748208626,0.10089734554850834,0.8608760581662736,0.5747983576735083,0.20421181398300972
race_2025_clean_laps_top5,gru,round,18,0.5138583195204842,0.2160125748208626,0.10089734554850834,0.8608760581662736,0.5747983576735083,0.2042118139830097
race_2025_clean_laps_top5,gru,season,1,0.5863949344232947,,0.5863949344232947,0.5863949344232947,0.5752191970466082,
race_2025_clean_laps_top5,hybrid_cnn_tabular,event_name,18,0.8202306315203363,0.1338480409801403,0.46014631043257,0.9916630481980026,0.852424450844203,0.09702137155731545
race_2025_clean_laps_top5,hybrid_cnn_tabular,round,18,0.8202306315203363,0.13384804098014033,0.46014631043257,0.9916630481980026,0.852424450844203,0.09702137155731544
race_2025_clean_laps_top5,hybrid_cnn_tabular,season,1,0.8524259154561872,,0.8524259154561872,0.8524259154561872,0.8527918781725888,
race_2025_clean_laps_top5,lstm,event_name,18,0.24695301220601953,0.15318746372010483,0.07168458781362007,0.6202198446217786,0.3510915460687918,0.12117827291887043
race_2025_clean_laps_top5,lstm,round,18,0.24695301220601953,0.1531874637201048,0.07168458781362007,0.6202198446217786,0.3510915460687918,0.12117827291887041
race_2025_clean_laps_top5,lstm,season,1,0.3162368283190376,,0.3162368283190376,0.3162368283190376,0.3555606829718505,
