dataset,fold,n_train,n_test,baseline_macro_f1,baseline_accuracy,baseline_balanced_accuracy
short_qualifying_2023_2025_top5,1,218,55,0.8568831168831169,0.8545454545454545,0.8545454545454545
short_qualifying_2023_2025_top5,2,218,55,0.8732806324110672,0.8727272727272727,0.8727272727272728
short_qualifying_2023_2025_top5,3,218,55,0.8756643356643355,0.8727272727272727,0.8727272727272728
short_qualifying_2023_2025_top5,4,219,54,0.8287502352719744,0.8333333333333334,0.8345454545454546
short_qualifying_2023_2025_top5,5,219,54,0.8692640692640692,0.8703703703703703,0.8690909090909091
long_qualifying_2018_2025_top5,1,560,138,0.8317368337197601,0.8333333333333334,0.8334439922895693
long_qualifying_2018_2025_top5,2,559,139,0.7876313889217116,0.7913669064748201,0.7838080959520239
long_qualifying_2018_2025_top5,3,554,144,0.8111859123310001,0.8125,0.8118482028826858
long_qualifying_2018_2025_top5,4,558,140,0.8175826618505141,0.8214285714285714,0.8166699507389161
long_qualifying_2018_2025_top5,5,561,137,0.7764208112116598,0.781021897810219,0.776247590490469
race_2025_clean_laps_top5,1,3466,868,0.9035933789652443,0.9043778801843319,0.9113906455730968
race_2025_clean_laps_top5,2,3359,975,0.7702051342155646,0.7661538461538462,0.7660737147317944
race_2025_clean_laps_top5,3,3284,1050,0.6986319384991885,0.699047619047619,0.7015200501429473
race_2025_clean_laps_top5,4,3614,720,0.8637583743366217,0.8652777777777778,0.8653994401872162
race_2025_clean_laps_top5,5,3613,721,0.7770292546026075,0.7864077669902912,0.7819705440145691
