dataset,fold,feature_family,n_features,importance_macro_f1_drop_mean,importance_macro_f1_drop_std
short_qualifying_2023_2025_top5,1,gear,6,0.21149664310353505,0.025887732437677412
short_qualifying_2023_2025_top5,1,throttle,17,0.5968740809221472,0.03980076068805213
short_qualifying_2023_2025_top5,1,speed,15,0.05943884988644712,0.036341456463971314
short_qualifying_2023_2025_top5,1,rpm,10,0.24972135294206863,0.0401631371949219
short_qualifying_2023_2025_top5,1,brake,9,0.20408964998896356,0.031282325225988374
short_qualifying_2023_2025_top5,2,gear,6,0.25373747053014795,0.011966227317066796
short_qualifying_2023_2025_top5,2,throttle,17,0.5398214149649875,0.04985012599801725
short_qualifying_2023_2025_top5,2,speed,15,0.13922385013918198,0.020940026302391963
short_qualifying_2023_2025_top5,2,rpm,10,0.16127442849548115,0.03573006758774879
short_qualifying_2023_2025_top5,2,brake,9,0.1737664132968481,0.04916048746235378
short_qualifying_2023_2025_top5,3,gear,6,0.24781952269851965,0.04921749476757076
short_qualifying_2023_2025_top5,3,throttle,17,0.5842625804200312,0.04285317274785527
short_qualifying_2023_2025_top5,3,speed,15,0.1416981430299507,0.033533511971187
short_qualifying_2023_2025_top5,3,rpm,10,0.2573103006832983,0.03252881842055413
short_qualifying_2023_2025_top5,3,brake,9,0.1914351381646575,0.04085147067973496
short_qualifying_2023_2025_top5,4,gear,6,0.27983469266069055,0.027581815686158213
short_qualifying_2023_2025_top5,4,throttle,17,0.4853280423408199,0.07061032102336048
short_qualifying_2023_2025_top5,4,speed,15,0.03745981768041262,0.023913603077086017
short_qualifying_2023_2025_top5,4,rpm,10,0.2536781838442062,0.05450609945641372
short_qualifying_2023_2025_top5,4,brake,9,0.27215589289148834,0.039263154410032454
short_qualifying_2023_2025_top5,5,gear,6,0.18976816908581606,0.007659329668837287
short_qualifying_2023_2025_top5,5,throttle,17,0.5212506507815432,0.052376652507084724
short_qualifying_2023_2025_top5,5,speed,15,0.14352430717007367,0.04886627608130656
short_qualifying_2023_2025_top5,5,rpm,10,0.19782765233749205,0.04428742393422846
short_qualifying_2023_2025_top5,5,brake,9,0.18154648427008088,0.023785747521753216
long_qualifying_2018_2025_top5,1,other,3,0.14324239689819315,0.01849304485175917
long_qualifying_2018_2025_top5,1,speed,11,0.34531887949285234,0.030081145142184906
long_qualifying_2018_2025_top5,1,throttle,9,0.4340569139107173,0.015453630057840846
long_qualifying_2018_2025_top5,1,brake,5,0.19281687985261095,0.02571759394446927
long_qualifying_2018_2025_top5,1,rpm,7,0.3945951395885013,0.025462113598260158
long_qualifying_2018_2025_top5,1,gear,5,0.36318665627181473,0.032576941795275184
long_qualifying_2018_2025_top5,2,other,3,0.09114055338496907,0.018362188072060713
long_qualifying_2018_2025_top5,2,speed,11,0.39563374766787723,0.00525174163294565
long_qualifying_2018_2025_top5,2,throttle,9,0.474013818357146,0.03889237715189325
long_qualifying_2018_2025_top5,2,brake,5,0.1805462442426548,0.013257412343001077
long_qualifying_2018_2025_top5,2,rpm,7,0.3996699474061804,0.023848018123411013
long_qualifying_2018_2025_top5,2,gear,5,0.3970109579275277,0.025203547694417253
long_qualifying_2018_2025_top5,3,other,3,0.07538341784632827,0.02514297936266879
