dataset,feature_family,n_features,importance_macro_f1_drop_mean,importance_macro_f1_drop_std,n_folds
short_qualifying_2023_2025_top5,throttle,17,0.5455073538859058,0.0457787486588298,5
race_2025_clean_laps_top5,throttle,9,0.44351193953646384,0.06612529991097983,5
long_qualifying_2018_2025_top5,throttle,9,0.43310871534884354,0.0319659810662904,5
long_qualifying_2018_2025_top5,rpm,7,0.3616963708561533,0.050482202440793954,5
long_qualifying_2018_2025_top5,speed,11,0.34574392157479156,0.03978318022384416,5
long_qualifying_2018_2025_top5,gear,5,0.34470337499408654,0.05326416838289116,5
race_2025_clean_laps_top5,gear,5,0.2916210259298061,0.07398448618766795,5
race_2025_clean_laps_top5,speed,11,0.2652490496366551,0.07659574111043282,5
short_qualifying_2023_2025_top5,gear,6,0.23653129961574187,0.03574977115573846,5
short_qualifying_2023_2025_top5,rpm,10,0.22396238366050927,0.042636371658665496,5
race_2025_clean_laps_top5,rpm,7,0.2052395626793555,0.04680903998084845,5
short_qualifying_2023_2025_top5,brake,9,0.20459871572240768,0.03943205344921577,5
long_qualifying_2018_2025_top5,brake,5,0.18746565931966583,0.03135816521920774,5
race_2025_clean_laps_top5,brake,5,0.18544358850912396,0.023819604625697006,5
short_qualifying_2023_2025_top5,speed,15,0.10426899358121322,0.051567845210560626,5
long_qualifying_2018_2025_top5,other,3,0.09684583885970624,0.035692817522230975,5
race_2025_clean_laps_top5,other,3,0.029288473376791375,0.038859050589425286,5
