dataset,fold,feature,feature_family,importance_macro_f1_drop_mean,importance_macro_f1_drop_std
short_qualifying_2023_2025_top5,1,gear_mean,gear,0.22010892825037393,0.037407787111472496
short_qualifying_2023_2025_top5,1,throttle_diff_std,throttle,0.1281372690881048,0.029257247540567282
short_qualifying_2023_2025_top5,1,throttle_diff_abs_mean,throttle,0.10344375756458138,0.030369362312647162
short_qualifying_2023_2025_top5,1,throttle_zero_frac,throttle,0.1434301309564737,0.020997220882045066
short_qualifying_2023_2025_top5,1,throttle_mid_frac,throttle,0.07368660508065546,0.022885060617310892
short_qualifying_2023_2025_top5,1,speed_std,speed,0.04004390768143633,0.01747077459137793
short_qualifying_2023_2025_top5,1,rpm_diff_std,rpm,0.13602214504083818,0.02243143819711317
short_qualifying_2023_2025_top5,1,rpm_diff_abs_mean,rpm,-0.011002522115565582,0.014796300210410349
short_qualifying_2023_2025_top5,1,throttle_full_frac,throttle,0.13863235209324865,0.03510374882967452
short_qualifying_2023_2025_top5,1,rpm_median,rpm,0.038792943136192595,0.04679713179898562
short_qualifying_2023_2025_top5,1,throttle_std,throttle,0.06779781621886889,0.023136353529066275
short_qualifying_2023_2025_top5,1,brake_diff_std,brake,0.04537302209613425,0.01649108688187088
short_qualifying_2023_2025_top5,1,throttle_p25,throttle,0.0849287905077379,0.018812815619358846
short_qualifying_2023_2025_top5,1,rpm_max,rpm,0.06280737213460327,0.01692873561393165
short_qualifying_2023_2025_top5,1,throttle_p10,throttle,0.01545966009581574,0.015484277996838625
short_qualifying_2023_2025_top5,1,throttle_diff_abs_max,throttle,0.031097729967295252,0.022627372065116273
short_qualifying_2023_2025_top5,1,throttle_max,throttle,0.0036363636363636377,0.008131156281817419
short_qualifying_2023_2025_top5,1,gear_change_count,gear,-0.0026207812020168975,0.0230673573117181
short_qualifying_2023_2025_top5,1,brake_active_frac,brake,0.06143126438778619,0.03150603579108962
short_qualifying_2023_2025_top5,1,brake_mean,brake,0.03727439903689742,0.029114445968843872
short_qualifying_2023_2025_top5,1,speed_p75,speed,0.00012384716732547485,0.0120427502933268
short_qualifying_2023_2025_top5,1,speed_diff_std,speed,0.00037639553429027475,0.0008416460011004073
short_qualifying_2023_2025_top5,1,gear_std,gear,0.0,0.0
short_qualifying_2023_2025_top5,1,gear_min,gear,0.0006048163887980796,0.021249898386190177
short_qualifying_2023_2025_top5,1,speed_p10,speed,-0.0012818013412978723,0.01464476387390048
short_qualifying_2023_2025_top5,1,rpm_min,rpm,0.017732760908046985,0.01666526401975698
short_qualifying_2023_2025_top5,1,brake_diff_abs_mean,brake,0.046409937888198805,0.01663636231505658
short_qualifying_2023_2025_top5,1,gear_max,gear,0.008180567258828143,0.01480131267692042
short_qualifying_2023_2025_top5,1,throttle_high_frac,throttle,0.07862692303882243,0.02021590956648626
short_qualifying_2023_2025_top5,1,speed_median,speed,-0.006837955332234436,0.01604938897642293
short_qualifying_2023_2025_top5,1,rpm_cv,rpm,-0.013145310829521284,0.014947763567908591
short_qualifying_2023_2025_top5,1,speed_diff_abs_mean,speed,-0.0032124976472802658,0.007750862816004561
short_qualifying_2023_2025_top5,1,rpm_mean,rpm,0.057482575903628555,0.040320499961765274
short_qualifying_2023_2025_top5,1,speed_min,speed,-0.00922872398387269,0.010182774315957216
short_qualifying_2023_2025_top5,1,rpm_std,rpm,-0.009949898461568884,0.016001799442829284
short_qualifying_2023_2025_top5,1,rpm_diff_mean,rpm,0.0021225197380804195,0.02082088073628135
short_qualifying_2023_2025_top5,1,throttle_p75,throttle,0.007116883116883121,0.009745193555611403
short_qualifying_2023_2025_top5,1,gear_median,gear,-0.008875052636151048,0.026546720272883507
short_qualifying_2023_2025_top5,1,brake_on_count,brake,0.0,0.0
short_qualifying_2023_2025_top5,1,speed_diff_abs_max,speed,0.0,0.0
short_qualifying_2023_2025_top5,1,throttle_diff_mean,throttle,0.0037056277056277008,0.014623470174680724
short_qualifying_2023_2025_top5,1,throttle_median,throttle,0.0,0.0
short_qualifying_2023_2025_top5,1,speed_diff_mean,speed,0.0,0.0
short_qualifying_2023_2025_top5,1,brake_std,brake,-0.006866930171278018,0.015354922659721921
short_qualifying_2023_2025_top5,1,rpm_diff_abs_max,rpm,0.0,0.0
short_qualifying_2023_2025_top5,1,speed_p25,speed,0.0,0.0
short_qualifying_2023_2025_top5,1,throttle_mean,throttle,0.0,0.0
short_qualifying_2023_2025_top5,1,throttle_low_frac,throttle,-0.0068443440617353525,0.009372752582734584
short_qualifying_2023_2025_top5,1,speed_range,speed,0.0,0.0
short_qualifying_2023_2025_top5,1,brake_max,brake,0.0,0.0
short_qualifying_2023_2025_top5,1,speed_max,speed,0.0,0.0
short_qualifying_2023_2025_top5,1,speed_mean,speed,0.0,0.0
short_qualifying_2023_2025_top5,1,brake_diff_abs_max,brake,0.0,0.0
short_qualifying_2023_2025_top5,1,speed_cv,speed,-0.0034112554112554205,0.007627798988181122
short_qualifying_2023_2025_top5,1,speed_p90,speed,0.0,0.0
short_qualifying_2023_2025_top5,1,throttle_p90,throttle,0.0,0.0
short_qualifying_2023_2025_top5,1,brake_p90,brake,0.0,0.0
short_qualifying_2023_2025_top5,2,gear_mean,gear,0.18565162567499355,0.018644095903530992
short_qualifying_2023_2025_top5,2,throttle_diff_std,throttle,0.10665773158953944,0.04995170432087839
short_qualifying_2023_2025_top5,2,throttle_diff_abs_mean,throttle,0.0761973388929911,0.04014875684398252
short_qualifying_2023_2025_top5,2,throttle_zero_frac,throttle,0.22013131064206584,0.049007065929497315
short_qualifying_2023_2025_top5,2,throttle_mid_frac,throttle,0.07720437457279565,0.02811936236106101
short_qualifying_2023_2025_top5,2,speed_std,speed,0.1284617780727621,0.01803308489226086
short_qualifying_2023_2025_top5,2,rpm_diff_std,rpm,0.07334570783907175,0.0434515629161116
short_qualifying_2023_2025_top5,2,rpm_diff_abs_mean,rpm,0.015211067193675865,0.02383641599553664
short_qualifying_2023_2025_top5,2,throttle_full_frac,throttle,0.15972740933107066,0.03416133487046793
short_qualifying_2023_2025_top5,2,rpm_median,rpm,0.04300229625447018,0.015189068529356732
short_qualifying_2023_2025_top5,2,throttle_std,throttle,0.04685074345943909,0.015250461840996423
short_qualifying_2023_2025_top5,2,brake_diff_std,brake,0.015930735930736017,0.013251669512046123
short_qualifying_2023_2025_top5,2,throttle_p25,throttle,0.058637825942173816,0.029739995783775907
short_qualifying_2023_2025_top5,2,rpm_max,rpm,0.0851079196928167,0.03210393495059086
short_qualifying_2023_2025_top5,2,throttle_p10,throttle,0.050910842323199354,0.02067612135962382
short_qualifying_2023_2025_top5,2,throttle_diff_abs_max,throttle,0.03265424430641826,0.02563917217035926
short_qualifying_2023_2025_top5,2,throttle_max,throttle,0.0,0.0
short_qualifying_2023_2025_top5,2,gear_change_count,gear,0.07536051195181641,0.013428112770380647
short_qualifying_2023_2025_top5,2,brake_active_frac,brake,0.030007076980990078,0.02268233436845681
short_qualifying_2023_2025_top5,2,brake_mean,brake,0.012433653303218595,0.007054787449849103
short_qualifying_2023_2025_top5,2,speed_p75,speed,0.04668473555430082,0.009622472542745108
short_qualifying_2023_2025_top5,2,speed_diff_std,speed,0.014584152079804324,0.024000451485609663
short_qualifying_2023_2025_top5,2,gear_std,gear,0.09824428142414413,0.02798551284862818
short_qualifying_2023_2025_top5,2,gear_min,gear,0.017280255975908165,0.02229380958106273
short_qualifying_2023_2025_top5,2,speed_p10,speed,0.0,0.0
short_qualifying_2023_2025_top5,2,rpm_min,rpm,0.06556683408125066,0.024396128636867263
short_qualifying_2023_2025_top5,2,brake_diff_abs_mean,brake,0.011991341991342108,0.007645623618229834
short_qualifying_2023_2025_top5,2,gear_max,gear,0.0,0.0
short_qualifying_2023_2025_top5,2,throttle_high_frac,throttle,0.003320158102766824,0.007424099213833351
short_qualifying_2023_2025_top5,2,speed_median,speed,0.0,0.0
short_qualifying_2023_2025_top5,2,rpm_cv,rpm,0.003502729154903106,0.02346600021337625
short_qualifying_2023_2025_top5,2,speed_diff_abs_mean,speed,0.0,0.0
short_qualifying_2023_2025_top5,2,rpm_mean,rpm,-0.00027856201769245194,0.011827583561832696
short_qualifying_2023_2025_top5,2,speed_min,speed,0.003025409373235477,0.008325932607336562
short_qualifying_2023_2025_top5,2,rpm_std,rpm,0.024957651044607565,0.00842159836350169
short_qualifying_2023_2025_top5,2,rpm_diff_mean,rpm,0.005454545454545512,0.009633855260466426
short_qualifying_2023_2025_top5,2,throttle_p75,throttle,-0.0037944664031620335,0.007631632180962593
short_qualifying_2023_2025_top5,2,gear_median,gear,0.01090909090909089,0.016049572473380513
short_qualifying_2023_2025_top5,2,brake_on_count,brake,0.014713131262330403,0.007595611938817533
short_qualifying_2023_2025_top5,2,speed_diff_abs_max,speed,0.009567812812664145,0.027247521166315892
short_qualifying_2023_2025_top5,2,throttle_diff_mean,throttle,0.0,0.0
short_qualifying_2023_2025_top5,2,throttle_median,throttle,0.003555430077169208,0.007950183341797671
short_qualifying_2023_2025_top5,2,speed_diff_mean,speed,0.0028458498023715252,0.009040934991617844
short_qualifying_2023_2025_top5,2,brake_std,brake,0.0035008469791078635,0.00782813182410997
short_qualifying_2023_2025_top5,2,rpm_diff_abs_max,rpm,0.010350084697910789,0.01018527871170267
short_qualifying_2023_2025_top5,2,speed_p25,speed,0.0,0.0
short_qualifying_2023_2025_top5,2,throttle_mean,throttle,0.0,0.0
short_qualifying_2023_2025_top5,2,throttle_low_frac,throttle,0.0,0.0
short_qualifying_2023_2025_top5,2,speed_range,speed,0.014221720308676833,0.007950183341797673
short_qualifying_2023_2025_top5,2,brake_max,brake,0.0,0.0
short_qualifying_2023_2025_top5,2,speed_max,speed,0.0,0.0
short_qualifying_2023_2025_top5,2,speed_mean,speed,0.0,0.0
short_qualifying_2023_2025_top5,2,brake_diff_abs_max,brake,0.0,0.0
short_qualifying_2023_2025_top5,2,speed_cv,speed,0.0,0.0
short_qualifying_2023_2025_top5,2,speed_p90,speed,0.003632599284773219,0.014735439684498801
short_qualifying_2023_2025_top5,2,throttle_p90,throttle,0.0,0.0
short_qualifying_2023_2025_top5,2,brake_p90,brake,0.0,0.0
short_qualifying_2023_2025_top5,3,gear_mean,gear,0.21315312305464587,0.05103615518437885
short_qualifying_2023_2025_top5,3,throttle_diff_std,throttle,0.14322095832980378,0.019619124173477227
short_qualifying_2023_2025_top5,3,throttle_diff_abs_mean,throttle,0.20245918344230357,0.05337590047292848
short_qualifying_2023_2025_top5,3,throttle_zero_frac,throttle,0.18259769900410622,0.042621042793628085
short_qualifying_2023_2025_top5,3,throttle_mid_frac,throttle,0.07957652104654381,0.02574970976792558
short_qualifying_2023_2025_top5,3,speed_std,speed,0.010253833123398204,0.024013428869019558
short_qualifying_2023_2025_top5,3,rpm_diff_std,rpm,0.17074110457726005,0.02433764586864591
short_qualifying_2023_2025_top5,3,rpm_diff_abs_mean,rpm,0.0722615837251992,0.011893070887924963
short_qualifying_2023_2025_top5,3,throttle_full_frac,throttle,0.12801894272867093,0.05739341719800648
short_qualifying_2023_2025_top5,3,rpm_median,rpm,0.01215288984259224,0.029484295774274444
short_qualifying_2023_2025_top5,3,throttle_std,throttle,0.05448530173106825,0.038413304396831764
short_qualifying_2023_2025_top5,3,brake_diff_std,brake,0.06999275713692181,0.020790912465842224
short_qualifying_2023_2025_top5,3,throttle_p25,throttle,0.06412184990106544,0.028242599530170505
short_qualifying_2023_2025_top5,3,rpm_max,rpm,0.05120174138704865,0.02971322216195811
short_qualifying_2023_2025_top5,3,throttle_p10,throttle,0.07857242518478205,0.02503565987993853
short_qualifying_2023_2025_top5,3,throttle_diff_abs_max,throttle,0.031020163970278312,0.020776801453956353
short_qualifying_2023_2025_top5,3,throttle_max,throttle,0.0043254137167180184,0.00832409162999797
short_qualifying_2023_2025_top5,3,gear_change_count,gear,0.048772562465926164,0.021429165742165152
short_qualifying_2023_2025_top5,3,brake_active_frac,brake,0.038269702227596916,0.03563375131779454
short_qualifying_2023_2025_top5,3,brake_mean,brake,0.04662343995524763,0.03300407101570678
short_qualifying_2023_2025_top5,3,speed_p75,speed,0.0,0.0
short_qualifying_2023_2025_top5,3,speed_diff_std,speed,0.009773125425299244,0.009397316031182077
short_qualifying_2023_2025_top5,3,gear_std,gear,0.027990231990231984,0.009902253156035613
short_qualifying_2023_2025_top5,3,gear_min,gear,0.02564007650964162,0.010021919555178945
short_qualifying_2023_2025_top5,3,speed_p10,speed,0.03840716744057697,0.02048849867474769
short_qualifying_2023_2025_top5,3,rpm_min,rpm,0.014446473604368303,0.014874317927358691
short_qualifying_2023_2025_top5,3,brake_diff_abs_mean,brake,0.033146120935594506,0.00860396045469872
short_qualifying_2023_2025_top5,3,gear_max,gear,0.00013537339853126885,0.00030270412146108733
short_qualifying_2023_2025_top5,3,throttle_high_frac,throttle,0.020758648758648746,0.008085155845383862
short_qualifying_2023_2025_top5,3,speed_median,speed,0.01641494737146898,0.014613855427596419
short_qualifying_2023_2025_top5,3,rpm_cv,rpm,0.012271930967583033,0.010191473537533392
short_qualifying_2023_2025_top5,3,speed_diff_abs_mean,speed,0.04164270512096593,0.024507456565281107
short_qualifying_2023_2025_top5,3,rpm_mean,rpm,0.0,0.0
short_qualifying_2023_2025_top5,3,speed_min,speed,0.0,0.0
short_qualifying_2023_2025_top5,3,rpm_std,rpm,0.013349921169600654,0.019952486788775065
short_qualifying_2023_2025_top5,3,rpm_diff_mean,rpm,0.01854180602006683,0.0
short_qualifying_2023_2025_top5,3,throttle_p75,throttle,0.013714285714285701,0.007666518779999271
short_qualifying_2023_2025_top5,3,gear_median,gear,0.03530024757850827,0.007968660151570838
short_qualifying_2023_2025_top5,3,brake_on_count,brake,0.011147184199815707,0.016060335637893212
short_qualifying_2023_2025_top5,3,speed_diff_abs_max,speed,0.019588046735872687,0.012993179466387636
short_qualifying_2023_2025_top5,3,throttle_diff_mean,throttle,0.0,0.0
short_qualifying_2023_2025_top5,3,throttle_median,throttle,0.003492655492655472,0.014800896321843648
short_qualifying_2023_2025_top5,3,speed_diff_mean,speed,0.0007005168744298462,0.0009592222350956018
short_qualifying_2023_2025_top5,3,brake_std,brake,0.0,0.0
short_qualifying_2023_2025_top5,3,rpm_diff_abs_max,rpm,0.013714285714285701,0.0076665187799992715
short_qualifying_2023_2025_top5,3,speed_p25,speed,0.028525144420796587,0.00976456386013602
short_qualifying_2023_2025_top5,3,throttle_mean,throttle,0.016921210901988837,0.008168420845683626
short_qualifying_2023_2025_top5,3,throttle_low_frac,throttle,0.0036659169290748084,0.008197239453278547
short_qualifying_2023_2025_top5,3,speed_range,speed,-0.004512009729401178,0.014366822512145506
short_qualifying_2023_2025_top5,3,brake_max,brake,0.0,0.0
short_qualifying_2023_2025_top5,3,speed_max,speed,0.0,0.0
short_qualifying_2023_2025_top5,3,speed_mean,speed,0.0,0.0
short_qualifying_2023_2025_top5,3,brake_diff_abs_max,brake,0.0,0.0
short_qualifying_2023_2025_top5,3,speed_cv,speed,0.0,0.0
short_qualifying_2023_2025_top5,3,speed_p90,speed,0.0,0.0
short_qualifying_2023_2025_top5,3,throttle_p90,throttle,0.0,0.0
short_qualifying_2023_2025_top5,3,brake_p90,brake,0.0,0.0
short_qualifying_2023_2025_top5,4,gear_mean,gear,0.16401809672116544,0.040314719847364074
short_qualifying_2023_2025_top5,4,throttle_diff_std,throttle,0.13309221596269658,0.025092428179350767
short_qualifying_2023_2025_top5,4,throttle_diff_abs_mean,throttle,0.08529804749026723,0.029784144076635155
short_qualifying_2023_2025_top5,4,throttle_zero_frac,throttle,0.20117183819528126,0.029976034015790742
short_qualifying_2023_2025_top5,4,throttle_mid_frac,throttle,0.13262923580360664,0.04195675208874772
short_qualifying_2023_2025_top5,4,speed_std,speed,-0.0078612341129503,0.01637284431591973
short_qualifying_2023_2025_top5,4,rpm_diff_std,rpm,0.14538147781215077,0.0191288434318352
short_qualifying_2023_2025_top5,4,rpm_diff_abs_mean,rpm,0.08294144573961515,0.04554982296094612
short_qualifying_2023_2025_top5,4,throttle_full_frac,throttle,0.014662657962429182,0.032405480697056885
short_qualifying_2023_2025_top5,4,rpm_median,rpm,0.028753508276620487,0.02932435224524653
short_qualifying_2023_2025_top5,4,throttle_std,throttle,0.10887316384427717,0.02786135761991077
short_qualifying_2023_2025_top5,4,brake_diff_std,brake,0.07567058567133952,0.01961746012304975
short_qualifying_2023_2025_top5,4,throttle_p25,throttle,0.030395864496551052,0.03274544377555369
short_qualifying_2023_2025_top5,4,rpm_max,rpm,0.040300494318801006,0.021194355901322518
short_qualifying_2023_2025_top5,4,throttle_p10,throttle,0.0424105091839108,0.017514021823401848
short_qualifying_2023_2025_top5,4,throttle_diff_abs_max,throttle,0.012202573896691504,0.012009476663254156
short_qualifying_2023_2025_top5,4,throttle_max,throttle,0.011514022209674412,0.009867763820055938
short_qualifying_2023_2025_top5,4,gear_change_count,gear,0.024800836082300725,0.03202509289740077
short_qualifying_2023_2025_top5,4,brake_active_frac,brake,0.05631812407093069,0.031312286373428505
short_qualifying_2023_2025_top5,4,brake_mean,brake,0.05447385067333921,0.03563511828954868
short_qualifying_2023_2025_top5,4,speed_p75,speed,-0.0053631707727817,0.016079335096130704
short_qualifying_2023_2025_top5,4,speed_diff_std,speed,0.019005466934017213,0.02068464624386172
short_qualifying_2023_2025_top5,4,gear_std,gear,0.003518162996423868,0.007866851615928119
short_qualifying_2023_2025_top5,4,gear_min,gear,0.014001664239650569,0.016239342728070413
short_qualifying_2023_2025_top5,4,speed_p10,speed,0.009883780597739422,0.010959008858091793
short_qualifying_2023_2025_top5,4,rpm_min,rpm,0.016053799227200804,0.009022895576751165
short_qualifying_2023_2025_top5,4,brake_diff_abs_mean,brake,0.043582258832386776,0.016228080486202952
short_qualifying_2023_2025_top5,4,gear_max,gear,0.0,0.0
short_qualifying_2023_2025_top5,4,throttle_high_frac,throttle,0.031038296741621618,0.012064119012780821
