dataset,feature,feature_family,importance_macro_f1_drop_mean,importance_macro_f1_drop_std,n_folds
race_2025_clean_laps_top5,gear_mean,gear,0.20157803362436946,0.09972920385695615,5
long_qualifying_2018_2025_top5,gear_mean,gear,0.20006080180437275,0.042593018520945936,5
short_qualifying_2023_2025_top5,gear_mean,gear,0.19336675259258404,0.02300593915001291,5
short_qualifying_2023_2025_top5,throttle_zero_frac,throttle,0.18098330033481352,0.031226777673126736,5
long_qualifying_2018_2025_top5,rpm_diff_std,rpm,0.16361341812716262,0.03518421072167341,5
race_2025_clean_laps_top5,throttle_mean,throttle,0.15643234137532774,0.07162746689203864,5
long_qualifying_2018_2025_top5,throttle_std,throttle,0.14420647622923718,0.0412169760740881,5
long_qualifying_2018_2025_top5,speed_std,speed,0.1358539740321813,0.04863498177126522,5
long_qualifying_2018_2025_top5,gear_std,gear,0.1279446931889861,0.037745194610754755,5
short_qualifying_2023_2025_top5,rpm_diff_std,rpm,0.12684793994696647,0.037230091528482556,5
long_qualifying_2018_2025_top5,rpm_std,rpm,0.1249688909789501,0.025386707152859154,5
race_2025_clean_laps_top5,throttle_std,throttle,0.12284195283826897,0.0541184531854417,5
race_2025_clean_laps_top5,throttle_diff_abs_mean,throttle,0.12269968022787814,0.04349187381530292,5
long_qualifying_2018_2025_top5,throttle_mean,throttle,0.12238339033428991,0.05685152207846846,5
race_2025_clean_laps_top5,throttle_zero_frac,throttle,0.121558093850623,0.03228883447584202,5
race_2025_clean_laps_top5,speed_std,speed,0.11979883055971834,0.060518537502690616,5
long_qualifying_2018_2025_top5,throttle_diff_std,throttle,0.11924723313606285,0.029626959521366167,5
long_qualifying_2018_2025_top5,rpm_mean,rpm,0.11489318420529251,0.030092399599544354,5
short_qualifying_2023_2025_top5,throttle_diff_abs_mean,throttle,0.11418232251588019,0.0507422645195788,5
long_qualifying_2018_2025_top5,throttle_diff_abs_mean,throttle,0.11312057856053044,0.022275652161082734,5
race_2025_clean_laps_top5,gear_std,gear,0.11188107773425413,0.06368921474360803,5
short_qualifying_2023_2025_top5,throttle_diff_std,throttle,0.11098601630303265,0.039848753779469955,5
long_qualifying_2018_2025_top5,speed_mean,speed,0.10928476442811488,0.03293215069856326,5
race_2025_clean_laps_top5,throttle_mid_frac,throttle,0.10556316313770182,0.028189559444351035,5
long_qualifying_2018_2025_top5,throttle_zero_frac,throttle,0.10352509935921808,0.025256216972936965,5
long_qualifying_2018_2025_top5,brake_on_count,brake,0.10231484482523634,0.024039607286611708,5
